Fno,CASno,Flag,Class,RTwax,RIwax,RIwaxl,RI5l,BP,mw,odor,OA,OW,WSrange,WLrange,OV,FW,FV,RRF
1,151053,ERO,Esters,32.885,1789,,1298,250,192,floral_fruity,,,,,,,,1.275356138
2,628637,QEROT,Esters,16.701,1178,1172,915,149,130,banana_fruit_sweet,0.05,0.005,0.00001,0.009,1.3,0.05,1.2,3.922894496
3,20777495,QESRO,Esters,,,1670,1344,233,196,camphor_medicine_mint,,,,,,,,1.007640873
4,109604,QESROT,Esters,10.245,981,965,714,102,102,celery_floral_glue_pear_redfruit,1,2,2,6.2,4.7,0.8,6.3,5.721730894
5,110190,QESROT,Esters,11.427,1018,1007,766,116,116,apple_banana_floral_herb_peardrops_solvent_sweet,0.038,0.025,0.025,0.44,0.922,0.5,1.5,5.222038943
6,624419,QESROT,Esters,15.011,1126,1120,879,138,130,apple_banana_pear,0.014,0.008,0.005,0.011,2,,1.2,3.946649995
7,109944,QESROT,Esters,6.177,824,830,504,54.7,74,ethereal_pungent,8.1,9,9,17,155,6.6,150,28.02990523
8,122430,QES,Esters,36.424,1980,1970,1433,134,192,,,,,,,,,1.076950232
9,102192,QES,Esters,37.088,2011,2016,1490,265.5,206,,,,,,,,,1.201757965
10,101973,QESROT,Esters,33.159,1801,1784,1246,229,164,floral_fruit_honey_rose_sweet,0.00835,0.156,,,0.41,0.55,,0.953279116
11,103457,QESROT,Esters,33.825,1835,1814,1259,232,164,floral_fruit_honey_rose_tobacco,0.0168,0.25,0.019,0.48,0.9,0.02,3.8,1.024455989
12,79209,QESROT,Esters,6.23,825,831,653,56.8,74,ester_green_sweet,5.1,5,,,2,,550,17.19460539
13,87252,QERO,Esters,40.619,2154,2280,1420,220.5,165,fruit_sweet,,,,,,,,0.820745874
14,123922,QESROT,Esters,15.05,1127,1118,877,142,130,apple_banana_fruit_glue_pear_sweet_yeast,0.018,0.002,0.00015,0.088,,,,3.022937955
15,2497189,QESR,Esters,21.58,1339,1333,1016,60,142,,,,,,,,,2.931219316
16,112061,QESROT,Esters,22.732,1380,1375,1116,192.4,158,floral_fresh,6.3,0.32,0.32,0.42,0.83,0.09,1.4,2.393938756
17,112141,QESROT,Esters,25.501,1482,1465,1209,211,172,burntplastic_citrus_fat_tar_wood,0.14,0.047,0.012,0.45,0.8,0.21,0.5,1.864407988
18,112174,QESROT,Esters,30.581,1688,1673,1407,244,200,oil_orange,2.6,0.6,0.225,1,,0.04,,1.39930763
19,13678687,PESRO,Sulfurcompounds,32.78,1784,1785,1180,211.5,156,roast,,,,,,,,1.619284792
20,110452,QESROT,Esters,13.318,1075,1042,791,123.5,116,apple,149,,,,,,5,5.668297229
21,134203,QEROT,Esters,40.248,2137,2254,1343,256,151,flower_fruit_grape_honey_peach,0.006,0.003,0.003,0.06,0.011,,,0.859888804
22,85916,QESROT,Esters,38.27,2057,2087,1405,256,165,floral_must_sweet,,0.349,,,,0.02,0.157,0.889192647
23,120514,QESROT,Esters,45.648,2339,2619,1760,323.5,212,balsamic_herb_oil,,0.341,,,,5.5,,0.790968212
24,33467731,QESR,Esters,,,1258,918,72,128,,,,,,,,,3.139544175
25,25152856,QESRO,Esters,38.846,2079,2108,1568,105,204,green_spice,,,,,,,,1.114030698
26,93890,QESROT,Esters,30.492,1684,1657,1171,212.6,150,camomile_celery_fat_flower_fruit,0.0006,0.053,0.053,0.06,1.43,300,0.575,0.864442609
27,105851,QESR,Esters,,,1615,1275,235,184,,,,,,,,,1.518135734
28,93287,QESRT,Esters,40.288,2139,2266,1523,,206,,,,,,100,,,1.197678596
29,141128,QESROT,Esters,31.688,1735,1717,1364,,196,floral_fruit_sweet,10,5,0.042,5,,,,1.428539695
30,105873,QESROT,Esters,32.353,1765,1744,1383,138,196,lavender_rose_sweet,12,0.15,0.009,0.15,,0.1,,1.66465102
31,89485,QESR,Esters,27.906,1577,1556,1294,227,198,,,,,,,,,0.942869602
32,3681718,QESROT,Esters,21.099,1322,1318,1006,105,142,banana_candy_floral_green,0.0225,0.013,0.008,0.056,0.2,0.0121,0.75,2.339131272
33,623176,QESR,Furans,27.04,1542,1535,990,176,140,,,,,,,,,1.884333999
34,1331835,SR,Esters,39.097,2088,2199,1426,270,180,,,,,,,,,1.015740737
35,93925,QESROT,Esters,31.206,1714,1806,1195,94.5,164,fruit_honey_rose,0.0002,0.16,,,,,,0.886864312
36,140114,QESROT,Esters,31.866,1744,1728,1163,206,150,boiledvegetable_fresh_fruit_honey_jasmine,0.001,0.364,0.002,0.364,0.3,,,0.956033775
37,115957,QESROT,Esters,27.566,1563,1558,1259,220,196,fruit_resinous_sweet,0.04,1,,,10,0.55,,1.15113357
38,80262,QESROT,Esters,31.173,1713,1684,1347,,196,herb_sweet_wax,,2.5,,,,1,,1.2745698
39,103548,QESROT,Esters,39.103,2089,2128,1453,264,176,floral_fruit_honey,,0.15,,,,,,0.94568764
40,656531,ESR,Sulfurcompounds,39.101,2080,2103,1391,185.3,185,,,,,,,,,1.469903812
41,539888,QESRT,Esters,28.979,1620,1600,1038,,144,,,,,,0.35,,1,1.844006618
42,105533,QESROT,Esters,28.049,1582,1573,1072,199.3,160,apple,,,,,,1470,,3.381721167
43,13532188,QESROT,Sulfurcompounds,26.871,1536,1519,1023,184.38,134,cabbage_garlic_radish_sweet_tropicalfruit,,0.18,,,,0.15,,1.710101286
44,13327565,QESROT,Sulfurcompounds,27.953,1579,1566,1102,200.5,148,cabbage_caramel_grass_medicine_menthol,0.015,0.00845,0.007,0.00845,,0.3,0.3,1.601840275
45,140885,QESROT,Esters,10.775,999,997,678,99.4,100,earth_hotplastic,0.0011,0.00015,0.0001,0.0067,0.01,,,3.384563792
46,2705875,ERO,Esters,33.476,1817,1800,1425,265.27,196,pineapple,,,,,,,,0.931016444
47,540421,QESRT,Esters,13.672,1086,1071,865,137,130,,0.11,,,,3.9,,,2.897915294
48,105680,QEROT,Esters,17.219,1194,1180,971,156,144,apple_apricot_pineapple,0.17,0.0258,0.0086,0.043,,,0.7,2.488246381
49,2445763,QESRT,Esters,21.741,1345,1334,1106,189.87,158,,,0.008,,,,,,2.008828007
50,33467742,QER,Esters,23.039,1391,1382,1098,83,156,,,,,,,,,1.758675087
51,59020858,ES,Sulfurcompounds,34.123,1850,,,234.63,170,,,,,,,,,1.579621365
52,868575,QESROT,Esters,11.302,1015,1008,774,115.5,116,apple_fruit_greenapple_strawberry_sweet,0.00015,0.00012,0.0001,0.0004,0.0014,0.00025,0.0014,1.990719159
53,105908,QESRT,Esters,33.718,1829,1812,1474,252,210,,,0.01,,,,,,1.295299946
54,103480,QESR,Esters,35.077,1899,1963,1403,,192,,,,,,,,,0.763314866
55,103526,QESROT,Esters,36.494,1984,1961,1443,,192,fruit,,,,,0.961,,,0.764311962
56,2432511,QESROT,Sulfurcompounds,17.5,1203,1209,842,141.38,118,cabbage_cheese_garlic_pine_sulfur,0.06,,,,0.2,,,3.255969878
57,103606,ES,Esters,38.906,2081,2100,1493,126,208,,,,,,,,,1.254560676
58,623427,QESROT,Esters,10.554,991,980,724,102.5,102,apple_banana_cheese_ester_floral,0.03,0.065,0.001,0.076,1,0.005,0.5,3.312066314
59,105544,QESROT,Esters,12.187,1041,1035,801,122.4,116,anise_apple_banana_butter_fruit_greenfruit_pineapple_strawberry,0.00019,0.00076,0.00013,0.001,0.02,0.001,0.02,2.457206866
60,105668,QESROT,Esters,15.059,1128,1134,892,142.5,130,apricot_fruit_pineapple_solvent_sweet,0.058,0.124,0.018,0.16,0.15,,0.3,2.0578046
61,109217,QESROT,Esters,18.124,1223,1219,996,164.5,144,floral,0.028,0.4,0.087,0.55,,,,1.893913405
62,539902,QESRT,Esters,16.25,1164,1161,954,156.32,144,,0.0094,,,,0.1,,,2.152955055
63,109193,QESROT,Esters,19.074,1255,1271,1047,175,158,greenfruit,0.078,,,,,,,1.292508919
64,123251,QESROT,Esters,30.481,1683,1674,1178,217.5,174,cotton_cream_floral_fruit_wine,0.79,,,,100,1.045,,1.173294943
65,623701,QESRO,Esters,16.359,1168,1164,848,142.5,114,ripefruit_sweet,,,,,,,,2.005286427
66,540181,QESROT,Esters,21.096,1322,1320,1090,186,158,banana,6.5,0.21,,,,1.3,0.6,1.671099149
67,2050013,QEROT,Esters,17.365,1199,1184,1007,,158,sweat,,0.2585,0.087,0.43,0.25,,,2.27050518
68,7452791,QESROT,Esters,12.729,1057,1050,847,135.08,130,anise_apple_bubblegum_fruit_kiwi_strawberry,0.00006,0.000013,0.000007,0.0001,0.018,0.00015,0.027,1.80546933
69,10032152,QESROT,Esters,24.221,1434,1429,1236,62,186,strawberry,,0.06,0.022,0.086,,,,1.277826647
70,27625350,QERT,Esters,19.957,1283,1275,1100,185,172,,,0.0258,0.0086,0.14,,,,1.635450211
71,2639636,QESROT,Esters,23.89,1422,1412,1193,206.77,172,applepeel_citrus_fresh_medicine_toothpaste,5,0.203,0.203,0.25,,,,1.456477147
72,141162,QESRO,Esters,33.325,1809,1787,1530,215,226,fruit_rose_sweet,,,,,,,,1.209344541
73,10094414,ES,Esters,25.458,1481,,,105,184,,,,,,,,,1.338690183
74,16491364,QESROT,Esters,25.117,1468,1456,1186,192,170,apple_green_wine,,0.5,0.32,0.5,,,,1.780113018
75,41519237,QER,Esters,23.146,1394,1380,1144,92,170,,,,,,,,,1.744724409
76,78353,QESR,Esters,28.85,1615,1622,1376,,224,,,,,,,,,1.061349261
77,103377,QESROT,Esters,34.848,1887,1839,1347,240,178,melon_peach_plum_sweet,,0.376,,,,,,0.914569235
78,103593,QESR,Esters,39.756,2115,2107,1562,307.08,204,,,,,,,,,1.015813444
79,10094345,PESR,Esters,35.535,1926,1889,1488,,220,,,,,,,,,1.145921352
80,539822,QESROT,Esters,15.458,1140,1133,902,145.9,130,apple_dryfish_herb_nut_yeast,0.00058,0.0058,0.0015,0.0087,0.011,0.094,0.3,1.915523189
81,140261,QESROT,Esters,36.895,2006,1975,1492,,206,floral_mint,,,,,,0.01,,0.698113873
82,53398859,QESRO,Esters,25.846,1495,1463,1230,,184,herb_sweet,,,,,,,,1.451056349
83,109206,QESRO,Esters,35.576,1929,1899,1596,279,238,apple_fruit_rose,,,,,,,,0.963417476
84,2173560,QESRT,Esters,23.847,1420,1401,1187,206.77,172,,,0.043,0.026,0.06,,4.7,,1.422067348
85,659701,QESROT,Esters,20.467,1300,1292,1104,191.5,172,fruit,0.046,0.02,,,1,,,1.67441736
86,31501118,QESRO,Esters,30.047,1665,1640,1380,,198,fruit_prune,,,,,,,,1.147741474
87,106707,QESROT,Esters,17.126,1191,1181,929,151,130,ester_fresh_fruit_pineapple_sweet,,0.07,0.01,0.084,,,0.075,2.07945505
88,2396772,QER,Esters,20.348,1296,1272,,149.3,128,,,,,,,,,1.908737876
89,123682,QESROT,Esters,22.628,1376,1370,1080,186,156,pineapple,0.75,,,,,,,2.251907145
90,27829727,QERT,Esters,21.948,1352,1345,1044,124.5,142,,0.17,,,,,,,1.809112813
91,2305251,QESROT,Esters,30.648,1690,1676,1129,91,160,floral_fresh_fruit_passionfruit_rubber,,,,,0.045,,,1.840172101
92,21188589,QESRO,Esters,29.879,1658,1637,1051,,146,citrus_grape,,,,,,,,1.845415646
93,6378650,QESROT,Esters,28.926,1618,1603,1387,246,200,applepeel_peach_plum,,6.4,,,1.89,,,1.255386372
94,626824,QESROT,Esters,23.872,1419,1412,1192,61.5,172,fruit_grass_green,,0.7,0.7,10,0.678,,,1.404452874
95,142198,PESRO,Esters,25.337,1476,1468,1181,210,170,banana_wine,,,,,,,,1.814656
96,111126,ERT,Esters,29.826,1657,,1202,218.5,154,,0.00048,0.025,,,,,,1.405848891
97,111115,QESROT,Esters,23.168,1395,1390,1127,179,158,fruit_orange_sweet_wax_wine,,0.2,0.2,0.27,,,0.5,1.400102409
